,filename,compStages,auxStages,Away %,Home %,Sleep %,Awake %,TOU %,Custom Schedule %,Smart Away %,Smart Home %,DR %,Hold %,TOU Event %,Custom Event %,Sq. Ft.,Floors,Age,Style,State,City
4852,900124f0adb8fb29aae69b609f78d69b639dd206.csv,0,1,0.256915827,0.242073031,0.258337149,0,0,0.242673993,0.035761981,0.042410714,0,0.036744505,0,0.885082799,0,0,0,,NY,New Windsor
4853,90054206c14940aae1cf7dd159b5677da53ac0f5.csv,0,0,0.101676969,0.243074634,0.383728251,0,0,0.271520147,0,0,0,0.259586767,0,0.740413233,1500,1,25,detached,NY,Suffern
4856,901424056464739dfaff3b97ca39e367c54ef5f1.csv,0,1,0.458630649,0.140704638,0.366643306,0,0,0.034021407,0.000435355,0.012179324,0,0.707505097,0,0.279880224,1500,2,90,multiPlex,NY,Saugerties
4857,9016efb97dc2e220f1dbb46067fcd7b60d36a095.csv,0,2,0.118265415,0.444072421,0.377737714,0,0,0.059924451,0,0,0,0.048382173,0,0.951617827,1500,4,57,detached,NY,Rochester
4858,9018d84c51035d13be88a4ae6604779bd6fa760e.csv,0,1,0.587800352,0.122866927,0.263448883,0,0,0.025883838,0,0,0,0.175495485,0,0.824504515,3500,3,0,semiDetached,NY,Sag Harbor
4861,902af5228c1a16f4877e747f00a941b868b4e68e.csv,0,1,0,0.526299748,0.47107438,0,0,0.002625872,0.060242659,0,0,0.652728445,0,0.287028896,0,0,0,,NY,Irvington
4862,902b380e22e3b5ebdd12672cc23088d7e931ba8e.csv,0,1,0.444988172,0.18091804,0.344665751,0,0,0.029428037,0,0,0,0.020814255,0,0.979185745,1000,1,5,condominium,NY,New York
4863,902c41cddf659660818538aea9691a2e59a2b85c.csv,0,1,0,0.676369863,0.278526922,0,0,0.045103215,0,0,0,0.876272355,0,0.123727645,2000,2,57,other,NY,Albany
4868,90487f1630f6d52d042d7317803683d151a35c22.csv,0,1,0,0.622853709,0.349769154,0,0,0.027377137,0.010941316,0,0,0.107562576,0,0.881496108,1500,3,20,condominium,NY,saratoga springs
4873,907251bb674acda8da0d97094916756a64269c43.csv,0,1,0.36326926,0.340920427,0.261912983,0,0,0.03389733,0.006042818,0.112856814,0,0.011989718,0,0.869110651,2500,2,35,detached,NY,Cortlandt
